Pathway(ConsensusPathDB)	Pathway(KEGG)_full	Function_description	MIM_phenotype_id	Trait_association(GWAS)	GO_biological_process	GO_cellular_component	GO_molecular_function	Ensembl_geneid
Nicotinate and nicotinamide metabolism - Homo sapiens (human);Nicotinate and Nicotinamide Metabolism;NAD+ metabolism;Vitamin B3 (nicotinate and nicotinamide) metabolism;Metabolism;Nicotinate Nicotinamide metabolism;Nicotinate metabolism;Metabolism of water-soluble vitamins and cofactors;Metabolism of vitamins and cofactors;NAD phosphorylation and dephosphorylation	Nicotinate and nicotinamide metabolism	.	.	Systolic blood pressure[28135244];Body mass index[26426971;28892062];Pulse pressure[28135244;28135244];Blood protein levels[30072576];	NADP biosynthetic process;phosphorylation;NAD metabolic process;positive regulation of insulin secretion involved in cellular response to glucose stimulus;ATP metabolic process	cytosol	NAD+ kinase activity;protein binding;ATP binding;metal ion binding	ENSG00000008130
PI3K-Akt signaling pathway - Homo sapiens (human);Relaxin signaling pathway - Homo sapiens (human);Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human);Retrograde endocannabinoid signaling - Homo sapiens (human);GABAergic synapse - Homo sapiens (human);Serotonergic synapse - Homo sapiens (human);Dopaminergic synapse - Homo sapiens (human);Glutamatergic synapse - Homo sapiens (human);Chemokine signaling pathway - Homo sapiens (human);Circadian entrainment - Homo sapiens (human);Apelin signaling pathway - Homo sapiens (human);Ras signaling pathway - Homo sapiens (human);Pathways in cancer - Homo sapiens (human);Cholinergic synapse - Homo sapiens (human);Olfactory transduction - Homo sapiens (human);Phototransduction - Homo sapiens (human);Morphine addiction - Homo sapiens (human);Alcoholism - Homo sapiens (human);Nicotine Pathway (Dopaminergic Neuron), Pharmacodynamics;Beta-agonist/Beta-blocker Pathway, Pharmacodynamics;Excitatory Neural Signalling Through 5-HTR 4 and Serotonin;Intracellular Signalling Through Adenosine Receptor A2b and Adenosine;Intracellular Signalling Through Adenosine Receptor A2a and Adenosine;Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin;Corticotropin Activation of Cortisol Production;Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin ;Excitatory Neural Signalling Through 5-HTR 6 and Serotonin ;Vasopressin Regulation of Water Homeostasis;Intracellular Signalling Through PGD2 receptor and Prostaglandin D2;Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin;Intracellular Signalling Through FSH Receptor and Follicle Stimulating Hormone;Intracellular Signalling Through Histamine H2 Receptor and Histamine;Dopamine Activation of Neurological Reward System;Nicotine Activity on Dopaminergic Neurons;Human Thyroid Stimulating Hormone (TSH) signaling pathway;Corticotropin-releasing hormone signaling pathway;Myometrial Relaxation and Contraction Pathways;G Protein Signaling Pathways;Chemokine signaling pathway;Focal Adhesion-PI3K-Akt-mTOR-signaling pathway;PI3K-Akt Signaling Pathway;Ras Signaling;Calcium Regulation in the Cardiac Cell;Estrogen signaling pathway;Signaling by GPCR;Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding;Signaling by WNT;Signal Transduction;bioactive peptide induced signaling pathway;g-protein signaling through tubby proteins;visual signal transduction;role of egf receptor transactivation by gpcrs in cardiac hypertrophy;aspirin blocks signaling pathway involved in platelet activation;regulation of ck1/cdk5 by type 1 glutamate receptors;cxcr4 signaling pathway;corticosteroids and cardioprotection;phospholipids as signalling intermediaries;cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway;ion channels and their functional role in vascular endothelium;ccr3 signaling in eosinophils;activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor;pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase;chrebp regulation by carbohydrates and camp;signaling pathway from g-protein families;thrombin signaling and protease-activated receptors;how progesterone initiates the oocyte maturation;attenuation of gpcr signaling;role of -arrestins in the activation and targeting of map kinases;activation of camp-dependent protein kinase pka;Glucagon signaling in metabolic regulation;Thromboxane signalling through TP receptor;Metabolism of proteins;ADP signalling through P2Y purinoceptor 12;Chaperonin-mediated protein folding;Metabolism;Olfactory Signaling Pathway;G alpha (s) signalling events;Presynaptic function of Kainate receptors;Activation of kainate receptors upon glutamate binding;Adrenaline,noradrenaline inhibits insulin secretion;Transport of small molecules;Glucagon-like Peptide-1 (GLP1) regulates insulin secretion;Regulation of insulin secretion;Signal amplification;Neuronal System;roles of  arrestin dependent recruitment of src kinases in gpcr signaling;CRH;Thrombin signalling through proteinase activated receptors (PARs);regulation of spermatogenesis by crem;actions of nitric oxide in the heart;Glucagon-type ligand receptors;Class B/2 (Secretin family receptors);GPCR ligand binding;Platelet activation, signaling and aggregation;Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits;Activation of GABAB receptors;Signaling events mediated by HDAC Class II;Ca2+ pathway;Beta-catenin independent WNT signaling;ADP signalling through P2Y purinoceptor 1;CXCR4-mediated signaling events;fmlp induced chemokine gene expression in hmc-1 cells;Hemostasis;-arrestins in gpcr desensitization;Visual signal transduction: Rods;Thromboxane A2 receptor signaling;Protein folding;G-protein activation;GABA B receptor activation;Rapid glucocorticoid signaling;GABA receptor activation;Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Opioid Signalling;G alpha (i) signalling events;Activation of the phototransduction cascade;G alpha (12/13) signalling events;G alpha (z) signalling events;Inactivation, recovery and regulation of the phototransduction cascade;The phototransduction cascade;Visual phototransduction;Vasopressin regulates renal water homeostasis via Aquaporins;Aquaporin-mediated transport;Activation of G protein gated Potassium channels;G beta:gamma signalling through PLC beta;Prostacyclin signalling through prostacyclin receptor;Integration of energy metabolism;Platelet homeostasis;G alpha (q) signalling events;G beta:gamma signalling through PI3Kgamma;G-protein beta:gamma signalling;GPCR downstream signalling;G protein gated Potassium channels;Inwardly rectifying K+ channels;Potassium Channels;PAR4-mediated thrombin signaling events;PAR1-mediated thrombin signaling events;LPA receptor mediated events;IL8- and CXCR1-mediated signaling events;CXCR3-mediated signaling events;Plasma membrane estrogen receptor signaling;Nongenotropic Androgen signaling;Hedgehog signaling events mediated by Gli proteins;IL8- and CXCR2-mediated signaling events	Taste transduction	FUNCTION: Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein- effector interaction.; 	616973;	Body mass index[25673413;26426971;25673413];	protein folding;signal transduction;G protein-coupled receptor signaling pathway;adenylate cyclase-activating dopamine receptor signaling pathway;phospholipase C-activating G protein-coupled receptor signaling pathway;positive regulation of cytosolic calcium ion concentration;G protein-coupled acetylcholine receptor signaling pathway;Wnt signaling pathway, calcium modulating pathway;Ras protein signal transduction;cell population proliferation;cardiac muscle cell apoptotic process;rhodopsin mediated signaling pathway;platelet activation;sensory perception of taste;retina development in camera-type eye;protein heterotrimerization;cellular response to prostaglandin E stimulus;cellular response to hypoxia;cellular response to catecholamine stimulus	photoreceptor inner segment;lysosomal membrane;cytosol;heterotrimeric G-protein complex;plasma membrane;membrane;dendrite;photoreceptor outer segment membrane;myelin sheath;cell body;extracellular exosome;photoreceptor disc membrane;extracellular vesicle	GTPase activity;protein binding;spectrin binding;protein-containing complex binding;alkylglycerophosphoethanolamine phosphodiesterase activity;GTPase binding	ENSG00000078369
Inflammatory mediator regulation of TRP channels - Homo sapiens (human);Aldosterone synthesis and secretion - Homo sapiens (human);Oxytocin signaling pathway - Homo sapiens (human);Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human);Pertussis - Homo sapiens (human);Long-term potentiation - Homo sapiens (human);Neurotrophin signaling pathway - Homo sapiens (human);Dopaminergic synapse - Homo sapiens (human);Oocyte meiosis - Homo sapiens (human);GnRH signaling pathway - Homo sapiens (human);Alzheimer,s disease - Homo sapiens (human);Gastric acid secretion - Homo sapiens (human);Circadian entrainment - Homo sapiens (human);Glucagon signaling pathway - Homo sapiens (human);Glioma - Homo sapiens (human);Adrenergic signaling in cardiomyocytes - Homo sapiens (human);Calcium signaling pathway - Homo sapiens (human);cAMP signaling pathway - Homo sapiens (human);Apelin signaling pathway - Homo sapiens (human);Estrogen signaling pathway - Homo sapiens (human);Fluid shear stress and atherosclerosis - Homo sapiens (human);Vascular smooth muscle contraction - Homo sapiens (human);C-type lectin receptor signaling pathway - Homo sapiens (human);Renin secretion - Homo sapiens (human);Tuberculosis - Homo sapiens (human);Rap1 signaling pathway - Homo sapiens (human);Ras signaling pathway - Homo sapiens (human);Salivary secretion - Homo sapiens (human);Phosphatidylinositol signaling system - Homo sapiens (human);Amphetamine addiction - Homo sapiens (human);Pathways in cancer - Homo sapiens (human);cGMP-PKG signaling pathway - Homo sapiens (human);Cellular senescence - Homo sapiens (human);Olfactory transduction - Homo sapiens (human);Phototransduction - Homo sapiens (human);Alcoholism - Homo sapiens (human);Insulin signaling pathway - Homo sapiens (human);Melanogenesis - Homo sapiens (human);Ras Signaling	Calcium signaling pathway;Phosphatidylinositol signaling system;Long-term potentiation;Olfactory transduction;Insulin signaling pathway;GnRH signaling pathway;Melanogenesis;Huntington's disease;Glioma	.	.	Body mass index[26426971];	calcium-mediated signaling;regulation of catalytic activity	cytoplasm	calcium ion binding	ENSG00000169885
Platelet activation - Homo sapiens (human);Relaxin signaling pathway - Homo sapiens (human);Type II diabetes mellitus - Homo sapiens (human);Insulin resistance - Homo sapiens (human);AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human);Endocytosis - Homo sapiens (human);Tight junction - Homo sapiens (human);Chemokine signaling pathway - Homo sapiens (human);Axon guidance - Homo sapiens (human);Hippo signaling pathway - Homo sapiens (human);Fluid shear stress and atherosclerosis - Homo sapiens (human);Rap1 signaling pathway - Homo sapiens (human);Sphingolipid signaling pathway - Homo sapiens (human);Insulin signaling pathway - Homo sapiens (human);Human papillomavirus infection - Homo sapiens (human);Proton Pump Inhibitor Pathway, Pharmacodynamics;Beta-agonist/Beta-blocker Pathway, Pharmacodynamics;VEGF Signaling Pathway;Intracellular Signalling Through Adenosine Receptor A2b and Adenosine;Intracellular Signalling Through Adenosine Receptor A2a and Adenosine;Type II diabetes mellitus;IL-1 signaling pathway;miRs in Muscle Cell Differentiation;Signaling Pathways in Glioblastoma;TNF alpha Signaling Pathway;AGE-RAGE pathway;Allograft Rejection;Myometrial Relaxation and Contraction Pathways;G Protein Signaling Pathways;Interleukin-1 Induced Activation of NF-kappa-B;VEGFA-VEGFR2 Signaling Pathway;Chemokine signaling pathway;HDAC6 interactions;Wnt Signaling Pathway and Pluripotency;Prader-Willi and Angelman Syndrome;Splicing factor NOVA regulated synaptic proteins;EGF-EGFR Signaling Pathway;Insulin Signaling;Calcium Regulation in the Cardiac Cell;Regulation of Ras family activation;RAGE;Signal Transduction;VEGFA-VEGFR2 Pathway;phosphoinositides and their downstream targets;GPCR GroupI metabotropic glutamate receptor;GPCR signaling-G alpha q;GPVI-mediated activation cascade;Platelet activation, signaling and aggregation;IL-7 signaling;EGFR1;CXCR4-mediated signaling events;ErbB1 downstream signaling;Hemostasis;Thromboxane A2 receptor signaling;JAK STAT pathway and regulation;IL2;Noncanonical Wnt signaling pathway;EPO signaling;Signaling by VEGF;IL4;TNFalpha;Signaling by Receptor Tyrosine Kinases;Signaling by TGF-beta Receptor Complex;VEGF;Signaling by TGF-beta family members;Insulin Pathway;Neurotrophic factor-mediated Trk receptor signaling;TNF receptor signaling pathway ;CDC42 signaling events;Insulin-mediated glucose transport;Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met);IL2 signaling events mediated by PI3K;p75(NTR)-mediated signaling;IGF1 pathway;Role of Calcineurin-dependent NFAT signaling in lymphocytes;IL1-mediated signaling events;Nephrin/Neph1 signaling in the kidney podocyte;Ceramide signaling pathway;TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition);RhoA signaling pathway;VEGFR2 mediated cell proliferation	Tight junction;Insulin signaling pathway;Type II diabetes mellitus	FUNCTION: Calcium- and diacylglycerol-independent serine/threonine-protein kinase that functions in phosphatidylinositol 3-kinase (PI3K) pathway and mitogen-activated protein (MAP) kinase cascade, and is involved in NF-kappa-B activation, mitogenic signaling, cell proliferation, cell polarity, inflammatory response and maintenance of long-term potentiation (LTP). Upon lipopolysaccharide (LPS) treatment in macrophages, or following mitogenic stimuli, functions downstream of PI3K to activate MAP2K1/MEK1-MAPK1/ERK2 signaling cascade independently of RAF1 activation. Required for insulin-dependent activation of AKT3, but may function as an adapter rather than a direct activator. Upon insulin treatment may act as a downstream effector of PI3K and contribute to the activation of translocation of the glucose transporter SLC2A4/GLUT4 and subsequent glucose transport in adipocytes. In EGF-induced cells, binds and activates MAP2K5/MEK5-MAPK7/ERK5 independently of its kinase activity and can activate JUN promoter through MEF2C. Through binding with SQSTM1/p62, functions in interleukin-1 signaling and activation of NF-kappa-B with the specific adapters RIPK1 and TRAF6. Participates in TNF-dependent transactivation of NF-kappa-B by phosphorylating and activating IKBKB kinase, which in turn leads to the degradation of NF-kappa-B inhibitors. In migrating astrocytes, forms a cytoplasmic complex with PARD6A and is recruited by CDC42 to function in the establishment of cell polarity along with the microtubule motor and dynein. In association with FEZ1, stimulates neuronal differentiation in PC12 cells. In the inflammatory response, is required for the T-helper 2 (Th2) differentiation process, including interleukin production, efficient activation of JAK1 and the subsequent phosphorylation and nuclear translocation of STAT6. May be involved in development of allergic airway inflammation (asthma), a process dependent on Th2 immune response. In the NF-kappa-B-mediated inflammatory response, can relieve SETD6-dependent repression of NF-kappa-B target genes by phosphorylating the RELA subunit at 'Ser-311'. Necessary and sufficient for LTP maintenance in hippocampal CA1 pyramidal cells. In vein endothelial cells treated with the oxidant peroxynitrite, phosphorylates STK11 leading to nuclear export of STK11, subsequent inhibition of PI3K/Akt signaling, and increased apoptosis. Phosphorylates VAMP2 in vitro (PubMed:17313651). {ECO:0000269|PubMed:11035106, ECO:0000269|PubMed:12162751, ECO:0000269|PubMed:15084291, ECO:0000269|PubMed:15324659, ECO:0000269|PubMed:17313651, ECO:0000269|PubMed:18321849, ECO:0000269|PubMed:9447975}.; 	.	Body mass index[26426971;26426971];Response to antipsychotic treatment in schizophrenia (reasoning)[21107309];Height[20881960];	microtubule cytoskeleton organization;positive regulation of cell-matrix adhesion;protein phosphorylation;inflammatory response;signal transduction;transforming growth factor beta receptor signaling pathway;long-term memory;positive regulation of cell population proliferation;cell migration;peptidyl-serine phosphorylation;establishment of cell polarity;negative regulation of protein complex assembly;activation of phospholipase D activity;activation of protein kinase B activity;positive regulation of interleukin-4 production;cellular response to insulin stimulus;intracellular signal transduction;negative regulation of apoptotic process;positive regulation of T-helper 2 cell differentiation;negative regulation of insulin receptor signaling pathway;positive regulation of insulin receptor signaling pathway;vesicle transport along microtubule;negative regulation of peptidyl-tyrosine phosphorylation;positive regulation of NF-kappaB transcription factor activity;protein heterooligomerization;negative regulation of hydrolase activity;membrane depolarization;membrane hyperpolarization;long-term synaptic potentiation;positive regulation of ERK1 and ERK2 cascade;protein kinase C signaling;protein localization to plasma membrane;regulation of neurotransmitter receptor localization to postsynaptic specialization membrane;neuron projection extension;positive regulation of excitatory postsynaptic potential;positive regulation of T-helper 2 cell cytokine production;positive regulation of interleukin-5 secretion;positive regulation of interleukin-13 secretion;positive regulation of interleukin-10 secretion	stress fiber;nuclear envelope;cytoplasm;endosome;microtubule organizing center;cytosol;plasma membrane;cell-cell junction;bicellular tight junction;postsynaptic density;membrane;apical plasma membrane;nuclear matrix;cell junction;cell leading edge;vesicle;protein-containing complex;myelin sheath abaxonal region;axon hillock;membrane raft;apical cortex;perinuclear region of cytoplasm;extracellular exosome;Schaffer collateral - CA1 synapse;glutamatergic synapse	protein kinase activity;protein serine/threonine kinase activity;protein kinase C activity;protein binding;ATP binding;potassium channel regulator activity;protein kinase binding;protein domain specific binding;phospholipase binding;insulin receptor substrate binding;metal ion binding;14-3-3 protein binding	ENSG00000067606
TGF-Ncore;Olfactory bulb development and olfactory learning;TGF-beta Signaling Pathway;TGF-beta Receptor Signaling;Signal Transduction;Gene expression (Transcription);Generic Transcription Pathway;RNA Polymerase II Transcription;Notch;Downregulation of SMAD2/3:SMAD4 transcriptional activity;TGF-beta super family signaling pathway canonical;TGF_beta_Receptor;Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer;BMP receptor signaling;C-MYB transcription factor network;Signaling by TGF-beta Receptor Complex;Signaling by BMP;Signaling by TGF-beta family members;Regulation of nuclear SMAD2/3 signaling	.	FUNCTION: May play a role in terminal differentiation of skeletal muscle cells but not in the determination of cells to the myogenic lineage. Functions as a repressor of TGF-beta signaling. {ECO:0000269|PubMed:19049980}.; 	182212;	Body mass index[26426971;26426971];Platelet distribution width[27863252];Coronary artery disease[29212778;29212778];	negative regulation of transcription by RNA polymerase II;neural tube closure;lens morphogenesis in camera-type eye;transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;cell population proliferation;negative regulation of cell population proliferation;anterior/posterior axis specification;negative regulation of Schwann cell proliferation;myotube differentiation;olfactory bulb development;myelination in peripheral nervous system;positive regulation of Wnt signaling pathway;embryonic limb morphogenesis;BMP signaling pathway;negative regulation of transforming growth factor beta receptor signaling pathway;negative regulation of BMP signaling pathway;negative regulation of histone deacetylation;negative regulation of activin receptor signaling pathway;somatic stem cell population maintenance;camera-type eye development;positive regulation of DNA binding;nose morphogenesis;negative regulation of cell differentiation;negative regulation of osteoblast differentiation;positive regulation of transcription by RNA polymerase II;negative regulation of fibroblast proliferation;camera-type eye morphogenesis;neuron development;skeletal muscle fiber development;cell motility;roof of mouth development;retina development in camera-type eye;face morphogenesis;bone morphogenesis;SMAD protein signal transduction;protein homotrimerization	nucleus;nucleoplasm;transcription factor complex;cytoplasm;centrosome;nuclear body;PML body;transcriptional repressor complex;protein-containing complex	DNA-binding transcription factor activity, RNA polymerase II-specific;transcription corepressor activity;protein binding;zinc ion binding;protein kinase binding;protein domain specific binding;ubiquitin protein ligase binding;SMAD binding;histone deacetylase inhibitor activity;repressing transcription factor binding	ENSG00000157933
Peroxisome - Homo sapiens (human);Post-translational protein modification;Metabolism of proteins;Peroxisomal protein import;Protein ubiquitination;E3 ubiquitin ligases ubiquitinate target proteins	.	FUNCTION: Somewhat implicated in the biogenesis of peroxisomes.; 	614870;614871;	Body mass index[26426971;26426971];Non-obstructive azoospermia[22197933];	protein targeting to peroxisome;peroxisome organization;protein import into peroxisome matrix;protein ubiquitination	peroxisome;peroxisomal membrane;integral component of peroxisomal membrane	protein binding;zinc ion binding	ENSG00000157911
Inositol phosphate metabolism - Homo sapiens (human);Proton Pump Inhibitor Pathway, Pharmacodynamics;D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis;Metabolism;phospholipases;D-<i>myo</i>-inositol-5-phosphate metabolism;superpathway of inositol phosphate compounds;Phosphatidylinositol phosphate metabolism;Synthesis of IP3 and IP4 in the cytosol;Inositol phosphate metabolism	.	FUNCTION: The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by activated phosphatidylinositol-specific phospholipase C enzymes. This phospholipase activity is very sensitive to calcium. May be important for formation and maintenance of the neuronal network in the postnatal brain (By similarity). {ECO:0000250}.; 	.	Body mass index[26426971];Schizophrenia[25056061];Ulcerative colitis[21297633;23128233];	biological_process;lipid catabolic process;inositol trisphosphate biosynthetic process;intracellular signal transduction;inositol phosphate metabolic process;phosphatidylinositol metabolic process;phosphatidylinositol-mediated signaling;release of sequestered calcium ion into cytosol	cellular_component;cytoplasm;plasma membrane	molecular_function;phosphatidylinositol phospholipase C activity;calcium ion binding	ENSG00000149527
.	.	FUNCTION: Metalloprotease involved in sperm function, possibly by modulating the processes of fertilization and early embryonic development. Degrades a broad variety of small peptides with a preference for peptides shorter than 3 kDa containing neutral bulky aliphatic or aromatic amino acid residues. Shares the same substrate specificity with MME and cleaves peptides at the same amide bond (By similarity). {ECO:0000250}.; 	.	Inflammatory bowel disease[28067908];Celiac disease[20190752;22057235];Body mass index[26426971];Multiple sclerosis[21833088;24076602;27386562];Rheumatoid arthritis (ACPA-positive)[24532676;23143596];Graves' disease[22922229];Rheumatoid arthritis[18794853;24390342;24390342;24390342;23143596];Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)[22922229];Primary sclerosing cholangitis[27992413];Non-obstructive azoospermia[22197933];Ulcerative colitis[21297633;23128233;28067908];	proteolysis	extracellular region;integral component of membrane	metalloendopeptidase activity;metal ion binding	ENSG00000142606
Signaling by GPCR;Signal Transduction;Rho GTPase cycle;Signaling by Rho GTPases;NRAGE signals death through JNK;Death Receptor Signalling;p75 NTR receptor-mediated signalling;G alpha (12/13) signalling events;GPCR downstream signalling;Cell death signalling via NRAGE, NRIF and NADE	.	FUNCTION: Guanyl-nucleotide exchange factor of the RHOG GTPase stimulating the exchange of RHOG-associated GDP for GTP. May play a role in chemotactic cell migration by mediating the activation of RAC1 by EPHA2. May also activate CDC42 and mediate activation of CDC42 by the viral protein HPV16 E6. {ECO:0000269|PubMed:20679435}.; 	.	Response to statin therapy[20339536];	G protein-coupled receptor signaling pathway;regulation of Rho protein signal transduction;positive regulation of apoptotic process;regulation of small GTPase mediated signal transduction;cell chemotaxis;activation of GTPase activity;positive regulation of protein localization to plasma membrane	cytosol	guanyl-nucleotide exchange factor activity;Rho guanyl-nucleotide exchange factor activity;protein binding;Rho GTPase binding;PDZ domain binding;receptor tyrosine kinase binding;cadherin binding	ENSG00000130762
.	.	.	.	Chronic central serous retinopathy[30073298];	biological_process	cellular_component;extracellular region	calcium ion binding;protein binding	ENSG00000162591
Neurotrophin signaling pathway - Homo sapiens (human);p53 signaling pathway - Homo sapiens (human);Hippo signaling pathway - Homo sapiens (human);Measles - Homo sapiens (human);TP53 Network;ATM Signaling Pathway;Apoptosis;Apoptotic Signaling Pathway;Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways;DNA Damage Response (only ATM dependent);Gene expression (Transcription);Generic Transcription Pathway;Alpha6Beta4Integrin;TP53 Regulates Transcription of Cell Death Genes;RNA Polymerase II Transcription;Activation of PUMA and translocation to mitochondria;Activation of BH3-only proteins;Intrinsic Pathway for Apoptosis;Apoptosis;Programmed Cell Death;p73 transcription factor network;TP53 Regulates Transcription of Genes Involved in Cytochrome C Release;TP53 Regulates Transcription of Caspase Activators and Caspases;TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain;atm signaling pathway;TGF_beta_Receptor;Regulation of TP53 Activity through Association with Co-factors;Regulation of TP53 Activity;Transcriptional Regulation by TP53;Direct p53 effectors;RUNX1 regulates transcription of genes involved in differentiation of HSCs;Transcriptional regulation by RUNX1;E2F transcription factor network;TP53 Regulates Transcription of Death Receptors and Ligands	p53 signaling pathway	FUNCTION: Participates in the apoptotic response to DNA damage. Isoforms containing the transactivation domain are pro-apoptotic, isoforms lacking the domain are anti-apoptotic and block the function of p53 and transactivating p73 isoforms. May be a tumor suppressor protein. {ECO:0000269|PubMed:10203277, ECO:0000269|PubMed:11753569, ECO:0000269|PubMed:18174154}.; 	.	Visceral fat[22589738;22589738];Visceral adipose tissue adjusted for BMI[22589738];Visceral adipose tissue/subcutaneous adipose tissue ratio[22589738];	activation of MAPK activity;kidney development;mismatch repair;cellular response to DNA damage stimulus;cell cycle arrest;regulation of mitotic cell cycle;intrinsic apoptotic signaling pathway in response to DNA damage;response to organonitrogen compound;regulation of gene expression;viral process;response to drug;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;regulation of apoptotic process;negative regulation of neuron differentiation;positive regulation of transcription, DNA-templated;positive regulation of transcription by RNA polymerase II;positive regulation of oligodendrocyte differentiation;protein tetramerization;negative regulation of cardiac muscle cell proliferation;positive regulation of cell cycle arrest;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;regulation of signal transduction by p53 class mediator;regulation of hematopoietic stem cell differentiation	chromatin;nucleus;nucleoplasm;mitochondrion;Golgi apparatus;cytosol;cell junction;intracellular membrane-bounded organelle	RNA polymerase II proximal promoter sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription activator activity, RNA polymerase II-specific;p53 binding;DNA-binding transcription factor activity;protein binding;transcription factor binding;protein kinase binding;identical protein binding;transcription regulatory region DNA binding;metal ion binding;MDM2/MDM4 family protein binding	ENSG00000078900
